,Title,Author,Issue,Type ,Description,Date
71,Teaching Legal Research Redux,"Aranas, Pauline M.",Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section,1997
72,Five Guys Who Went down to Colchester in 1180 and Why We Have a Thousand F.2ds Lying About,"Hoffman, John",Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section,1997
73,Take Me out to the Reference Desk,"Brown, Ladd",Issue 1,article,Feature,1997
74,Invest in AALL: Volunteer for a Committee,"Heller, Jim",Issue 2,notes,Note              ,1997
75,Invest in AALL: Volunteer for a Committee,"Bausch, Donna",Issue 2,notes,Note              ,1997
76,Future of SOLO Librarianship ,"Siess, Judith A.",Issue 2,article,Feature,1997
77,Exploring the National Digital Library: A Day at the Library of Congress,"Nobunaga, Wendy",Issue 2,article,Feature,1997
78,We Don't Need It - We Can't Afford It - Go Away,"Benneman, William",Issue 2,article,Feature,1997
79,KeyCite - A New Electronic Citation Service,"Giangrande, Mark",Issue 2,notes,Feature: Note         ,1997
80,AALL Delays Open Membership,"Dyer, Charles R.",Issue 2,article,Feature,1997
81,"Other Side of the Table, The   ",Lemann Catherine ,Issue 3,notes,Feature     ,1997
82,Exhibiting at CTC5,"Billings, Carol",Issue 3,notes,Feature: The Other Side of the Table,1997
83,AALL and the Code of Ethic: Time for a Change,"Axtmann, Margaret Maes",Issue 3,article,Feature: Revising the AALL Code of Ethics,1997
84,Revision of the AALL Code of Ethics - Role of an Ethics Code,"Monaco, Ralph A.",Issue 3,article,Feature: Revising the AALL Code of Ethics,1997
85,Volunteering: A Parable,"Saint-Onge, Michael ",Issue 4,article,Feature,1997
86,Digital Signatures: Identity in Cyberspace,"Coyle, Karen",Issue 4,article,Feature,1997
87,Certification: Context and Development,"Cox, Cayl",Issue 4,notes,Feature,1997
88,Certification: Context and Development,"McKillip, Jack",Issue 4,notes,Feature,1997
89,AALL Biennial Salary Survey 1997,"Blixrud, Julia",Issue 4,notes,Feature: Survey,1997
90,Copyright and Law Librarian's Ethics,"Cochran, Wes",Issue 4,notes,Feature,1997
91,"Duchess of Windsor, Tom Cruise and Me, The","Benemann, William",Issue 4,article,Feature,1997
92,Paralegal: Friend or Foe,"Shimpock, Kathy E.",Issue 5,article,Feature,1997
93,UCC Article 2B - Some Preliminary Comments on a New Issue for the Library Community,"Oakley, Robert L.",Issue 5,comments,Feature,1997
94,"Sublime Time in Anaheim, A","Smith, Dorene S.",Issue 5,notes,Feature,1997
95,Librarian Chic Is Not an Oxymoron,"Dixon, Edna S.",Issue 5,comments,Feature,1997
96,Increased Involvement = Increased Enjoyment,"Janto, Joyce Manna",Issue 6,article,Feature,1997
97,"Meet the Superintendent of Documents: Francis J. Buckley, Jr.","Tulis, Susan E.",Issue 6,notes,Feature,1997
98,"Devil's Advocate: How Computer Forensics Can Support Both Sides of Computer Litigation, The","Robbins, Judd",Issue 6,article,Feature,1997
99,Be a Better Writer,"Johnston, Janis L.",Issue 6,notes,Feature,1997
100,Damage Control,"Bredemeyer, Carol",Issue 7,notes,Feature: Public Relations,1997
101,Librarian Trainer - An Evolution,"Gregor, Pamela",Issue 7,notes,Feature: Reports from the Public and Private Sector,1997
102,Melding - The Library and Network/Computer Services Worlds,"Daily-Herrman, Kathleen ",Issue 7,notes,Feature,1997
103,Computers and the Internet Ethical Concerns,"Abate, Anne K.",Issue 7,notes,Feature,1997
104,Orange County - Symbol of the California Dream,"Giourgas, Annamarie ",Issue 7,notes,Feature,1997
105,Successful Presentations (Or How to Avoid a Public Speaking Nightmare),"Dugan, Laura Olsen",Issue 8,notes,Feature         ,1997
106,"Information Migration - CD-ROM, Web, or DVD","Kautzman, Amy M.",Issue 8,notes,Feature,1997
107,Job Sharing Offers Pluses and Minuses ,"March, Virginia S.",Issue 8,article,Feature,1997
108,"Copyright - Permission, Please","Hu, Haibin ",Issue 8,article,Feature,1997
109,"Digital Legal Information: Here Today, Gone Tomorrow ","Germain, Claire M.",Issue 8,article,Feature,1997
110,Ethics &(and) Public Service,"Schlueter, Kay",Issue 8,article,Feature,1997
111,How to Get around Anaheim/Orange County,"Smith, Doreen S.",Issue 8,notes,Feature,1997
112,Rally for the Right to Read,"Kissel, Sharon ",Issue 9,article,Feature         ,1997
113,Videoconference Offers Guide to Change Management,"Koban, Lara",Issue 9,notes,Feature,1997
114,Disintermediation Brings Law Librarians and Law Publishers Together ,"Estes, Mark E.",Issue 9,notes,Feature,1997
115,Disintermediation Brings Law Librarians and Law Publishers Together ,"Todd, Kay M.",Issue 9,notes,Feature,1997
116,Private Law Librarians: Do You Have a Future in Records Management,"Miller, Warner",Issue 9,notes,Feature          ,1997
117,Ethics and Business Practices,"Axtmann, Margaret Maes ",Issue 9,notes,Feature,1997
118,If I'd Only Known the Smart Way to Estimate My Data Conversion Costs,"Miller, James L. III",Issue 9,notes,Feature,1997
119,PDC: Bringing Programming Closer to Home,"Holcomb, Jean",Issue 9,article,Feature,1997
120,"Plea for Balance, A","Gorman, Michael",Issue 10,notes,Feature,1997
121,Technology: Theory versus Reality in a Private Law Library,"Wise, Beatrice ",Issue 10,article,Feature,1997
122,Evaluating Electronic Resources,"Studwell, Bobbie",Issue 10,notes,Feature,1997
123,Educational Requirements for Law Library Directors,"Langland, Laurie ",Issue 10,notes,Feature,1997
124,Pro Bono Legal Advice for Pro Se Clients,"Jordan, Stephen R.",Issue 10,article,Feature,1997
125,"Managing Multiple Projects, or the Art of Juggling ","Hotchkiss, Mary A.",Issue 1,notes,Feature,1998
126,Barlow Paints Internet as New Community and Challenge to Concepts of Property,"Burch, Sue",Issue 1,notes,Feature: Annual Meeting in Anaheim,1998
127,New Horizons in Collection Development: Approval Plans,"Pergament, Rachel",Issue 1,notes,Feature: Annual Meeting in Anaheim: F3,1998
128,"New Horizons Meet Lost Horizons: Law, Movies, and the Law Library","Aranes, Pauline M.",Issue 1,notes,Feature: Annual Meeting in Anaheim: D7,1998
129,"Thrill of the Chase: Why We Love Reference A.K.A. Take My Research, Please, The","Woodhead, K. O.",Issue 1,notes,Feature: Annual Meeting in Anaheim: C2,1998
130,Shattered Shelves - Effective Emergency Preparedness ,"Nobunaga, Wendy ",Issue 1,notes,Feature: Annual Meeting in Anaheim: H2,1998
131,Work Shop,"Nobunaga, Wendy ",Issue 1,notes,Feature: Annual Meeting in Anaheim,1998
132,That's Not Legal: Business Information Sources,"Mackler, Mark",Issue 1,notes,Feature: Annual Meeting in Anaheim: E8,1998
133,Library of Congress versus Supreme Court,"Fletcher, G. LeGrande",Issue 1,article,Feature,1998
134,End-User Electronic Information Competencies,"Studwell, Bobbie",Issue 2,notes,Feature,1998
135,New Kid on the Block: KeyCite Compared to Shepard's,"McKenzie, Elizabeth M.",Issue 2,notes,Feature         ,1998
136,Whole Is Greater than the Sum of Its Parts: Teambuilding in Our Library,"Browne, Kelly",Issue 2,notes,Feature         ,1998
137,Digital Preservation Task Force Meets to Plan Summit,"Billings, Carol ",Issue 2,article,Feature,1998
138,Information in the Next Millennium: Today's Decisions May Limit Tomorrow's Access,"Sandison, Betsy",Issue 3,notes,Feature,1998
139,Information in the Next Millennium: Today's Decisions May Limit Tomorrow's Access,"Johnston, Hazel ",Issue 3,notes,Feature,1998
140,Birth of a Chapter Web Site,"Stephens, Jennifer S.",Issue 3,notes,Feature,1998
141,Redefining Reference as the Reference Desk a Thing of the Past,"Gontrum, Barbara",Issue 3,article,Feature          ,1998
142,Marketing: A Survival Tool for the Nineties and Beyond,"Sears, Dennis",Issue 4,article,Feature,1998
143,"Customer Is Always Right: Law Libraries in the Age of Customer Service, The","Duggan, James",Issue 4,article,Feature,1998
144,Access to Public Records,"David, Shirley",Issue 4,article,Feature          ,1998
145,EDGAR and Beyond,"Varnavas, Anna",Issue 4,notes,Feature,1998
146,EDGAR and Beyond,"Lastres, Steven ",Issue 4,notes,Feature,1998
147,Law Librarians' Pet Peeves,"Snyder, Fritz",Issue 4,notes,Feature          ,1998
148,Law Librarians' Pet Peeves,"Chapman, Pat",Issue 4,notes,Feature          ,1998
149,"Speaking at an AALL Meeting or Lights, Camera, Action at a Continuing Ed Event","Todd, Kay M.",Issue 5,notes,Feature         ,1998
150,Delivery of Services to Diverse Patrons,"Sun, Cossette T.",Issue 5,notes,Feature         ,1998
151,Good Happens,"Whisner, Mary",Issue 5,article,Feature,1998
152,Crossroads - Strategic Partnerships and Collaborative Programming,"Coggins, Timothy L.",Issue 5,notes,Feature        ,1998
153,Crossroads - Strategic Partnerships and Collaborative Programming,"Johnson, Hazel L.",Issue 5,notes,Feature        ,1998
154,Meeting Management Tips: Strategies for Improving Your Skills,"Holcomb, Jean M.",Issue 6,notes,Feature,1998
155,"Economics and Management of Legal Information, The","Taylor, Betty",Issue 6,notes,Feature: Report,1998
156,Touring the Region,"Harrington, Lisa",Issue 7,notes,Feature,1998
157,Touring the Region,"Stellino, Maureen",Issue 7,notes,Feature,1998
158,Paraprofessionals: Surpassing the Grade,"Margeton, Stephen G.",Issue 7,notes,Feature,1998
159,Licensing and Librarianship,"Klinefelter, Anne",Issue 7,notes,Feature: Member's Briefing,1998
160,Proposed Bylaws Revisions,"Anderson, Janice Snyder",Issue 7,notes,Feature        ,1998
161,Proposed Bylaws Revisions,"Siebers, Susan P.",Issue 7,notes,Feature        ,1998
162,Isn't It Time You Started Designing Your Own Web Pages,"Kozlowski, Ken",Issue 7,notes,Feature,1998
163,Must See Sights for You and Your Family at the Crossroads of D.C.,"Conte, Elizabeth",Issue 8,notes,Feature,1998
164,Must See Sights for You and Your Family at the Crossroads of D.C.,"Bryant, Virginia ",Issue 8,notes,Feature,1998
165,Using Basic Rules to Win Management Support,"Meadows, Judith ",Issue 8,notes,Feature         ,1998
166,Community Legal Resources Network to Address Under-Served Communities ,"Boeringer, Greta",Issue 8,notes,Feature         ,1998
167,On the Cutting Edge with On-Demand Printing,"Bonacum, Leslie",Issue 8,notes,Feature,1998
168,"Black Hole in Annual Meeting Program Selection, The","Myers, Anne",Issue 8,notes,Feature         ,1998
169,D.C. off the Beaten Path,"Dattalo, Elmo",Issue 9,notes,Feature          ,1998
170,"Exaltation of Larks, an Exchange of Librarians, An","Orr, Laura",Issue 9,notes,Feature         ,1998
171,Getting Your Money's Worth from an Electronic Services Librarian ,"Mecklenberg, Lisa",Issue 9,article,Feature,1998
172,Gallagher Award Recipients Named ,"Parris, Carol J.",Issue 9,notes,Feature,1998
173,1999 Joseph L. Andrews Bibliographical Award ,"Mills, Grace M.",Issue 9,notes,Feature,1998
174,Dublin Core: An Overview of the Metadata Seminar,"Okonska, Maria",Issue 9,notes,Feature         ,1998
175,Slogans to Market Libraries By,"Merring, Lynn Connor",Issue 9,notes,Feature,1998
176,AALL Annual Meetings Feature Stellar Authors &(and) Speakers: 1999 Is Not Exception ,"Johnson, Hazel L.",Issue 10,notes,Feature         ,1998
177,West's Copyright Claim to Star Pagination Denied by Second Circuit,"Ensign, David",Issue 10,notes,Feature: Copyright Corner          ,1998
178,Next Chapter in Your Career - The Flexibility of Freelance/Independent Law Librarianship,"Bridges, Ruth",Issue 10,article,Feature,1998
179,"Library Lovers' Guide to Washington, D.C., Libraries, A","Gregory, Pamela J.",Issue 10,notes,Feature,1998
180,Some Personal Reflections on Our New AALL Ethical Principles,"Mackler, Mark",Issue 10,misc,Feature,1998
181,Copyright Corner,"Klinefelter, Anne",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999",1999
182,Law Librarians and Their Governing Bodies: Identifying for a Successful Working Relationship,"Bausch, Donna",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999: B-I",1999
183,Promoting Your Law Library and Fundraising via Multimedia: A Rewarding Team Effort,"Oates, Charles H.",Issue 1,comments,Feature,1999
184,CRIV Notes,"Humphrey, Richard",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999",1999
185,Excellence in Marketing Awards,"Schmidt, Michelle ",Issue 1,notes,Feature,1999
186,At the Crossroads: Law Firm Management Speaks out about Their Law Library Expectations,"Duggan, Tom",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999: E-1",1999
187,"It's All in the Books, Right - The Ethical Perils of Ignoring Electronic Legal Resources in the Information Age","Pillai, Karlye ",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999: E-2",1999
188,"Internet Reference and the Non-Law Patron: Dangers, Policies, and Solutions","Pillai, Karlye ",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999: L-2",1999
189,"Non-Librarian's Impressions of the AALL Annual Meeting, A","Brewer, Jim",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999",1999
190,Everybody's Free (to Wear Comfortable Shoes),"Camargo-Pohl, Susana ",Issue 1,notes,"Feature: At the Crossroads: AALL's 92nd Annual Meeting and Conference, Washington, D.C., July 17-22, 1999",1999
191,Space Planning for Technical Services: In the Blended Age of Print &(and) Technology,"Nicholson, Carol Avery",Issue 2,notes,Feature,1999
192,Kelly Show - Episode One: How to Motivate and Nurture Student Workers,"Browne, Kelly",Issue 2,comments,Feature        ,1999
193,CRIV Notes,"Rhodes, Elizabeth",Issue 2,notes,Feature ,1999
194,Men in Law Librarianship,"Boeringer, Greta ",Issue 2,article,Feature,1999
195,Exploring British Librarianship ,"Papa, Stephanie ",Issue 3,notes,Feature,1999
196,Taking the Wireless Route at NSU,"Kaufman, Billie Jo",Issue 3,article,Feature,1999
197,"Capital Contribution, A","Westwood, Karen",Issue 3,notes,Feature         ,1999
198,Judging the 1999 Annual Meeting: State Justice Institute Participants Rate Their Experience,"Billings, Carol D.",Issue 3,notes,Feature,1999
199,"Circulation Ten Commandments, The","Cranford, Jessie",Issue 3,notes,Feature,1999
200,Whither UCITA,"Cronin, Charles",Issue 4,notes,Feature: Copyright Corner          ,1999
201,Every Library Is Special and So Is Its Collection Development Policy,"Siber, Karen",Issue 4,article,Feature          ,1999
202,Law Firm Breakup: A Librarian's Tale,"Willis, Sandra",Issue 4,notes,Feature        ,1999
203,True Confessions of a Copyright Wimp,"Dugan, Joanne",Issue 5,notes,Feature: Copyright Corner          ,1999
204,Strengthening the Madagascar National Assembly: A Librarian's Perspective,"Randall, Lynn",Issue 5,comments,Feature,1999
205,Allen Mercer Daniel: A Leader in Librarianship,"Berry, Cynthia",Issue 5,notes,Feature,1999
206,Public Relations,"Membiela, Clara D.",Issue 5,notes,Feature,1999
207,1999 Annal Meeting Strategy Initiatives Sessions,"Coggins, Timothy L.",Issue 5,notes,Feature,1999
208,"Welcome to Our Law Library...Well, Sort Of - Exploring the Issues That Arise When the Need for Security Meets the Desire for Open Access","Billings, Carol D.",Issue 5,notes,Feature          ,1999
209,"Library Systems Migration: We're Live, Now What","Douglas, Karen",Issue 6,article,Feature,1999
210,All I Really Need to Know about Law Library Marketing I Learned Watching Commercials during the Super Bowl,"Curci-Ganzalez, Lucy",Issue 6,notes,Feature: Public Relations,1999
211,SCCLL-SIS and Strategic Planning - Overcoming Paralysis and Creating a Successful Plan,"Warren, Gail ",Issue 6,notes,Feature,1999
212,Philadelphia: Leadership Starts Here,"Schneider, Linda-Jean",Issue 6,notes,Feature,1999
213,"Mirror, Mirror on the Wall: A Vision for the Future","Germain, Claire M.",Issue 6,notes,Feature,1999
214,It Takes a Village,"Levor, Ruth",Issue 6,notes,Feature,1999
215,Philadelphia: Birthplace of Libraries ,"Smith, Regina L.",Issue 7,notes,Feature         ,1999
216,CRIV Notes,"Tang, Lorna",Issue 7,notes,Feature,1999
217,Answering Faculty Research Requests,"Payne, Robert S.",Issue 7,notes,Feature,1999
218,AALL Mentoring Program - How It Really Works,"Levor, Ruth",Issue 7,comments,Feature         ,1999
219,AALL Mentoring Program - How It Really Works,"Cranford, Jessie",Issue 7,comments,Feature         ,1999
220,Public Relations - How Do You Spell Public Relations,"Bertelli, Frances",Issue 7,notes,Feature,1999
221,"Time Has Come for Electronic Cite-Checking, The","Beck, Karen",Issue 7,notes,Feature          ,1999
222,Copyright Law Information on the Web,"Anderson, Steve",Issue 8,notes,Feature: Copyright Corner          ,1999
223,Get Your Library Ready for Distance Education,"Long, Ann Walsh",Issue 8,notes,Feature          ,1999
224,Public Relations - Referral List: Two-Way and Win-Win,"Jolowke, Claudia ",Issue 8,notes,Feature,1999
225,Distance Education: An Insider's View,"Hall, Katherine ",Issue 8,comments,Feature,1999
226,UCITA Enacted in Virginia,"Wiant, Sarah K.",Issue 8,notes,Feature         ,1999
227,Iowa Library Sets Stage for TV Caucus Reports,"Robertson, Linda",Issue 9,notes,Feature,1999
228,Managing Poverty Law and Policy Information - Inside the National Center on Poverty Law,"McLennon, Rita A.",Issue 9,notes,Feature,1999
229,Medical Research for the Legal World,"Melamut, Steven ",Issue 9,notes,Feature         ,1999
230,Medical Research for the Legal World,"Thibodeas, Patricia L.",Issue 9,notes,Feature         ,1999
231,Far-Reaching Benefits of PR: Rewards Worth Waiting For,"Burch, Sue",Issue 9,notes,Feature: Public Relations,1999
232,Dropping Federal Depository Library Status - A How-to Guide,"Gemellaro, Elizabeth ",Issue 9,notes,Feature,1999
233,Kent Olson Wins Andrews Award,"Eaton, Amy",Issue 9,notes,Feature,1999
234,Gallagher Award Recipients Named,"Deemer, Pam",Issue 9,notes,Feature,1999
235,"Adoption of UCITA in Maryland: A View from the Trenches, The","Morrell, Harvey K.",Issue 10,notes,Feature: Copyright Corner          ,1999
236,"Making of an AALL Professional Development Program, The","Holterhoff, Sally",Issue 10,notes,Feature,1999
237,"Making of an AALL Professional Development Program, The","Linnane, Mary Lu",Issue 10,notes,Feature,1999
238,Shy PR,"Wambold, Sally Hill",Issue 10,notes,Feature: Public Relations,1999
239,Speak up for Democracy and Diversity - Historic Law Day 2000 Celebration at the Law Library of Congress,"Bernal, Marie-Louise",Issue 10,notes,Feature,1999
240,Planning for Minneapolis in 2001: The Process Starts Now,"Sullivan, Kathie J.",Issue 10,notes,Feature,1999
241,PLL and SLA Legal Division Meeting Our Needs in the 21st Century,"Mackler, Mark",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: B-2",2000
242,"Instant Gratification - The Z39-50 Gateway to Searching, Cataloging, and ILL","Thomas, Joe",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: D-3",2000
243,"New Legal Citation Manual - What Will It Mean for Law Librarians, A","Rees, Warren",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: E-5",2000
244,Managing Multi-Location Libraries,"Estes, Mark E.",Issue 1,notes,Feature,2000
245,I Can Help You: Legal Information vs. Legal Advice - A Customer Service Perspective,"Healey, Paul",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: G-3",2000
246,"Medical Library Association Annual Meeting - How Technology Is Changing Medicine and May Change the Law, The","Percy, Kumar",Issue 1,notes,Feature               ,2000
247,Random Thoughts on How a Few Years (Or More than a Few) Affect Your Perspective on the Annual Meeting,"Bredemeyer, Carol",Issue 1,notes,Feature,2000
248,"Ful-Phill-ing Experience, A","Janeke, Amy Hale",Issue 1,article,Feature               ,2000
249,Core Competencies for Support Staff Librarians as Departmental Leaders,"Butterfield, Kevin",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: G-5",2000
250,Gateways through the Vendor Maze - Using Technology (and Other Tricks) to Manage Legal Publishers,"Vaughan, Richard",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: G-6",2000
251,"Text Encoding Initiative and Electronic Legal Texts, The","Thomas, Joe",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: I-3",2000
252,Privacy Issues in Personal Data Records: Walking the Tightrope with the ISRG,"Hoffman, John",Issue 1,notes,"Feature: Gateways to Leadership: Program Reviews from AALL's 93rd Annual Meeting and Conference in Philadelphia, July 15-20, 2000: K-4",2000
